Warsaw,Łódź,Kraków,Wrocław,Poznań,Gdańsk,Szczecin,Bydgoszcz,Lublin,Katowice,Białystok,Gdynia,Częstochowa,Sosnowiec,Radom,Kielce,Gliwice,Toruń,Zabrze,Bytom,Bielsko-Biala,Olsztyn,Rzeszów,Ruda Śląska,Rybnik,Tychy,Białołeka,Opole,Elbląg,Płock,Wałbrzych,Gorzów Wielkopolski,Włocławek,Zielona Góra,Tarnów,Dąbrowa Górnicza,Chorzów,Kalisz,Koszalin,Legnica,Słupsk,Jaworzno,Jastrzębie Zdrój,Grudziądz,Nowy Sącz,Konin,Piotrków Trybunalski,Inowrocław,Lubin,Jelenia Góra,Siedlce,Piła,Ostrowiec Świętokrzyski,Siemianowice Śląskie,Ostrów Wielkopolski,Mysłowice,Stargard,Pabianice,Gniezno,Fordon,Suwałki,Tomaszów Mazowiecki,Przemyśl,Stalowa Wola,Zamość,Kędzierzyn-Koźle,Głogów,Wrzeszcz,Leszno,Żory,Bełchatów,Łomża,Tarnowskie Góry,Świdnica,Chełm,Tczew,Piekary Śląskie,Mielec,Racibórz,Będzin,Zgierz,Biała Podlaska,Ełk,Świętochłowice,Pruszków,Ostrołęka,Starachowice,Zawiercie,Legionowo,Tarnobrzeg,Puławy,Wodzisław Śląski,Skarżysko-Kamienna,Skierniewice,Kutno,Krosno,Dębica,Nysa,Starogard Gdański,Wejherowo
0.0,117.00243345638414,252.49725511869502,301.7286293713489,278.10657693529606,283.44687822159005,453.7576934375816,225.57985470769364,152.73993017030068,259.0680091515636,176.48241021575086,303.03034115699796,206.05554796821116,253.55963659219213,92.45423682804758,153.47945839971314,269.33707604777095,184.77105329322563,262.3427421464016,254.30471053160815,300.8683772815651,175.81595163337946,252.89904541492206,265.6101032812783,293.0479274805735,272.86089468608867,10.527460693873843,275.17156191013476,238.94023090687003,95.3438123244166,365.1129536598558,395.5331689999108,139.73925774674458,377.5199587310656,246.4095846378718,245.40898842252463,256.6151999379533,206.6341875934021,389.1946208790299,352.72296828825296,362.7016331654503,255.53730398950253,304.7921598473497,205.98996531193717,290.83334212075357,188.01625359694282,128.41590915198688,196.4061158587633,343.1925565957692,393.85280157429787,87.39163526109265,305.68423637311525,146.883232771392,252.50100600288562,228.77131149811981,258.9796508365252,419.28248715270934,129.80364073306924,235.18227470430867,217.01761919744936,245.24347841513938,103.79563631247275,298.2852545190713,196.85815440498666,228.31283320091916,284.95579922471677,343.46160131199434,287.1937249165084,306.5246817431145,291.5244390463495,148.71302244962146,126.88448141433764,248.32486132627443,348.66113464440224,208.1993458507965,255.07673306567997,251.59461758361684,217.9104547672522,307.2458090499809,249.02033333342658,117.42287443600327,145.32649422551106,199.43454208669314,259.70154264244957,15.107326194557308,102.54453822218645,132.64901873629634,223.12387606472623,19.952175009019633,189.94951843573105,111.83915132500204,304.4132791583918,124.54247676815282,65.83021803248185,112.21491553422032,287.5085402642023,243.81521785804014,321.40423380226287,254.37536051161533,321.8817498760234
117.00243345638414,0.0,192.79511749568914,184.87163811322515,187.6514766586276,292.30871683564675,379.9583552154749,180.28930073609928,221.70137141578374,171.02009034192582,292.3519313843113,311.9824509071277,111.01620002858695,167.0037993305427,122.62600929441338,128.24264208336726,173.01427568202098,150.4650339273639,167.79232007873813,162.63819907300717,218.6909529022374,233.72678431128395,261.3533966322768,173.60736484413073,197.2074890404897,185.07232063653763,119.35276746676462,162.93705368521657,264.8599334358999,87.75799670600121,248.12602776307398,308.2361315898171,101.43134475446332,273.08310403047835,222.2974444502323,160.85081975443006,166.57878224789175,95.17209350447631,348.4840159566797,237.6057974483861,341.0230054747563,174.60952532992158,211.46755090188594,196.63752091128728,253.98306350300464,97.68537142368731,43.57856581014196,140.8814475686196,229.780675573375,277.5613065702727,197.89500555415933,240.67895401455073,162.37520666253175,163.4619452227354,115.57123504061764,175.13721867772637,346.0173443341609,14.376844805626241,154.49784371906821,176.816987850921,348.38687839995487,45.47708391154121,319.88958620247706,223.07836046762665,287.55877339024676,180.4458442820197,233.78164681935465,295.48102457539636,199.46070723713473,199.36234336842313,45.40148293704719,234.8295181831009,153.42197703555624,231.67689718932422,285.59239597963654,262.35482467031017,159.2652752186515,214.00892105740175,206.3208121757777,162.4565126879959,10.538850028467886,251.57567584838932,300.14783100704915,168.48305666410067,101.89556567386698,204.2063683725782,137.55550896534987,142.7099361743006,121.54315988654989,203.38703591666618,176.80886671493508,208.64746344377366,121.35796193129231,51.26996094283805,51.70619545394468,282.31808308560556,234.48746051330582,207.5676722090673,252.0438842972964,325.8532436417586
252.49725511869502,192.79511749568914,0.0,235.25845068654857,334.3648301662697,485.0957527855743,526.5902897870574,365.5980576680603,227.66888100309123,68.3604047575678,407.8062650098331,504.7430854334957,99.96047367774825,64.38117944443059,171.7407717571716,102.37983695177374,93.48463123333993,341.0688678904483,87.00397659911195,78.22219393989792,68.99158624951653,415.2412996392688,147.2663270679405,80.00942829019372,99.60541628201113,69.70940366592112,261.4308756049672,157.98383189443607,456.2949272994007,276.8252886815037,270.5172967911258,441.60676642686,293.8849680125581,373.4433603905573,75.20429930530312,60.261271823980515,73.71393031526033,229.02773783549557,526.349542548055,295.2158111481019,527.9208141875864,49.7951411472777,98.02641173801935,389.17550597404545,73.23801743065489,267.591546116398,150.34998489512145,325.70614914350017,302.09091479904544,311.91934967712683,286.0477051273055,408.3856592404787,140.75957749070793,71.05151129783667,231.81015242120213,57.22577793472079,495.8190832101436,182.86508164534345,320.00058523489366,364.2343805282368,494.5545346889499,163.52143048145746,204.95177332988186,161.06845294497327,246.2498296202563,125.88533038335821,323.71026726629685,488.25514495863064,307.48493646165684,88.25924316388893,150.99880080621122,376.2244798420188,87.55634756961906,259.12344346498423,276.92604446284946,455.1497659366692,80.1249070224308,108.849497399112,122.59191010079249,64.79411918324973,202.93076147894183,312.1099195421505,450.6359876423269,77.14111476287592,242.36924060080315,354.8774469428495,134.92052665889767,60.08926138896195,269.1724195483568,136.18747519609877,207.7540621844482,104.80048666106366,134.28384938824468,211.10948489648362,244.48650544540516,137.8022858648884,105.29337783943912,190.5426289127285,444.52035313332834,518.3057683641704
301.7286293713489,184.87163811322515,235.25845068654857,0.0,145.49702359649845,377.62454556172565,309.0765632462456,234.62733360508898,386.0144479357434,168.81289907323566,475.5540511816369,393.25585285301696,150.3016868992504,171.59065701277117,288.2417369781759,252.85899207163553,146.12784422917755,238.16647907993345,150.50123224231027,157.69502096078472,201.220181739364,379.15948129334816,369.83327599020856,158.91479802424018,154.1718924209325,173.37376077209373,303.40240918982545,78.60658308135389,375.3053088486112,244.16911652865036,63.95101661234073,220.07965016016936,221.6621003032941,140.68169026884587,304.2441486216239,174.997201146443,162.72184257448365,103.82613722413156,348.9419086856646,61.99579194924187,374.0654212452824,186.73140167093175,167.53524789692395,289.7503283992255,307.4547136024163,150.52755212241576,188.87909839873666,206.86775166175659,66.86676002488227,93.9502799162368,381.6323713921972,229.0005535454909,304.98491466115377,164.6864081276335,81.79785981165887,180.1812364055258,283.0190367386943,172.88829377494838,163.9485593292545,240.6070418770802,520.0407421742439,212.25052525440026,431.43442582329425,357.0718617089061,437.8678819754719,118.34738897879966,90.90316518596313,379.40410188036844,88.23233939577183,166.18267015388787,164.49227085740168,413.42579724501985,147.71957338908842,47.60808979405748,449.23312864920587,352.9608951700241,155.41042667227774,322.1468120830884,139.8943381104077,170.6027798476455,184.5539591608647,432.9189747503367,471.4588734249219,159.9653030691875,286.63834491942697,380.7668187357336,282.195028894122,180.825477392524,304.53030745421034,331.42208764196727,345.2175852136022,158.70886973529602,267.94921363083563,236.1355179695003,204.05762393959037,370.57621340102446,330.3495183638728,72.77607490292162,334.0682456926283,398.069054618414
278.10657693529606,187.6514766586276,334.3648301662697,145.49702359649845,0.0,244.51174438746278,195.71556184233015,107.73107023005956,408.034096243893,279.81510046924984,426.97739004569047,257.6575237671467,234.5682556598521,279.9202660390855,310.0674143510009,307.03184165639726,264.03330940796076,131.0782599529851,264.92277356400024,267.81494686693,323.1115186293713,282.70711367785697,440.0612691826964,273.8140359597158,280.2487327081622,289.39986080184957,274.5896032140975,204.81287581546061,254.57368904046476,188.6705954191369,187.2478327472324,120.67073925222844,147.0852905277551,110.32429056759501,388.06423573428174,279.3776483293013,273.34892172463344,107.00917322184411,205.03182242100726,143.17495471464323,228.8359437640103,294.0844097507254,295.70439020089435,171.0994599593645,406.5316039825976,92.10271641242211,220.42281647553074,100.07078388287906,122.51922883761837,186.94560170259334,365.4705718693523,83.79018161835788,348.3429396896612,273.29398966985514,102.90311281999668,289.776968492946,163.12029496288577,185.26294840311775,46.43932413628293,117.28154971419735,441.69654915302146,232.26688095356883,500.91620836927655,408.44500895038635,475.2006899355584,245.78001666777658,100.8738597609803,245.6207649038778,67.50113690854187,290.0926279470095,202.62238121342287,355.31447564102484,255.91340903354876,176.46207091322685,471.31327214343753,224.12882083394888,264.51186567141264,391.00528344316945,272.59518819812314,277.04945404097003,179.78812220117328,423.3639800832633,395.50041624172786,272.23163074019686,265.32229860739477,321.6377339759064,323.29897333333923,274.2758046507373,271.0972915140581,386.8092395628975,362.701218688078,287.98925899094667,307.013396154293,225.76551561153292,166.5984750355872,453.54507288198164,407.2678263513653,216.77338830223917,203.1896817168618,259.2781896153659
283.44687822159005,292.30871683564675,485.0957527855743,377.62454556172565,244.51174438746278,0.0,287.33154694242523,142.99723797025405,433.85843406599247,455.9411241020847,326.3223019532301,20.018769801869183,396.6861180804622,453.1100893178211,368.29696913439096,409.52753235110134,450.86147380518565,148.87448255617534,447.91685823598095,445.6680296489827,504.42329243328635,136.1761932929324,530.8058716020025,455.4349486639841,473.2063004623752,469.1939460385588,273.44410191639696,412.1299109026148,54.13498005507449,212.60822214799583,429.00025619879966,288.62926376807377,191.4990842033353,340.7398862289515,507.9908024236771,448.40564776848373,450.4853038412858,290.5276146593896,161.7691988320566,387.31966913792434,105.59782582580046,463.0806531801197,488.93363400670864,96.77740376961033,544.3193353332889,238.1937672695562,335.2070174083883,174.59327117484995,366.936947791662,431.4555747623707,342.9251032411285,183.34541015527213,422.9439271017579,448.28904402174567,305.16473015625894,462.2223961009482,261.69085862455745,302.57216841915806,214.07451679713327,137.53526326105654,279.52611898550595,326.6194738524981,580.420177612646,478.25740472155405,509.43580855724406,445.9742755417816,344.65372963532354,3.808796157212113,311.72978216028105,478.93382228761203,335.12251323652913,259.35835940701213,434.6535074765659,416.4726987498547,482.1712552773844,30.08185821255505,442.07782822826107,489.6973192408475,474.62747361109825,448.85916604250747,282.17476671736557,393.7195379689541,249.1930253293594,451.36370389528787,282.00059940961467,238.50389162051712,403.0622963141836,432.8596549292391,264.3113937340445,467.59099272259004,395.1162083716326,483.68142082321936,389.979006043193,284.92731466342406,240.64965077139726,560.696132592879,513.8440221376059,440.36877657773897,43.91142199593012,38.82939870177429
453.7576934375816,379.9583552154749,526.5902897870574,309.0765632462456,195.71556184233015,287.33154694242523,0.0,232.1694842235916,595.4752331251915,467.552333217963,573.0920763450091,287.00128399467775,427.7629043537089,468.5851183943735,500.5113860272431,502.4426136132427,448.6340406459296,273.19420815691694,451.0111830580918,455.58364113950597,506.78797117831243,393.8070102178976,635.7141709928779,459.9217854869987,460.9422660467504,475.3639131064319,447.8779429011981,383.50644988158257,328.8735958483092,358.5359343908254,318.2633889486924,89.22059665471792,314.02862813349475,178.06383343383726,583.2347537554192,469.2627046395664,461.07293908727763,302.4338880329788,136.17573554686285,269.8583044427431,198.72017327667217,483.36376598924903,475.25860700188304,278.1478911496745,599.4991669799153,282.2788794531774,415.3214284394611,257.35465615992507,251.68560163792438,292.43877570911235,538.4367308009364,148.45499259219338,542.1260139551268,461.7138855934929,295.46020620854375,478.2222538406896,34.51349055127025,379.2458942667253,225.85297975822073,242.43780904855342,555.4548890597385,425.3027251522492,696.4171934175354,602.636256961336,665.6916581595436,425.04226733594095,221.92521488797493,285.6980148440989,223.18675567791934,472.20130745303646,398.2296799913217,499.3242964963872,444.0191127519717,316.32832450560676,657.160855050882,287.2987537678394,452.54747198259525,586.694654622945,448.5906364653996,466.25628304016766,371.1486373251757,596.7583742383803,516.7508466387116,459.3306086256883,443.2653308657256,468.49844849997965,517.1658020399153,466.7471959878774,442.1896231480872,581.6863520279991,550.0957838444975,466.6957221897832,500.8878115920355,411.65513509485135,349.51664432118406,649.0151832739172,602.9176265171232,379.8132111915784,268.22428592154137,273.81930993647416
225.57985470769364,180.28930073609928,365.5980576680603,234.62733360508898,107.73107023005956,142.99723797025405,232.1694842235916,0.0,374.0496935008447,326.23902169577207,343.9809054725119,158.92925341566203,269.8176693762272,324.3330057676068,286.78099396411255,308.0831187461412,317.5830989484442,41.29816254874517,315.7646010245321,315.119464814986,374.03980087468545,180.09196694909636,439.76370373755327,323.9047975328991,338.5297948312329,338.5863439290821,218.6486551635699,272.6405515138753,147.02353706882369,130.89019608972254,286.95271331238723,191.1429976416919,88.61864209493567,214.636155608585,402.3716693132846,320.94402786683423,320.3020483606557,151.5984791239047,169.71185271120007,247.1961681027992,162.33385248272398,336.0437414081536,354.448397135761,63.75866946747956,431.73781960881263,101.42716196497791,223.1662419279596,39.97079105071168,227.57683127179436,292.3081463108593,307.79000208964976,84.75853904584301,335.97549504766187,318.7650845521949,163.85581446535403,333.94633897988234,198.27837500247563,186.20800319287312,71.41611280398827,11.19837097490761,342.729150377508,223.2165271983503,496.34706942519364,396.14156898056245,447.67070496523917,308.7830906297037,208.26352070931378,144.79955128016675,172.53390553259592,345.6160641246747,215.6383450645585,270.22099163252665,303.51320177761187,273.99257754256263,432.9296215012146,119.1195952158836,311.5265576925922,393.4660000538141,337.40929499307924,320.43975895822825,169.82644604496895,365.81572641243196,298.75021754156313,320.5432744723602,216.82549948223746,238.2000531214916,312.41215618100927,308.6749948712414,212.16497143884206,379.4265346514498,329.61683098679646,348.3783386118498,296.9553724873106,195.0337831516941,134.97694914008378,462.46145703854114,414.60923929908324,298.24572045654514,99.54155668262148,165.4871571349481
152.73993017030068,221.70137141578374,227.66888100309123,386.0144479357434,408.034096243893,433.85843406599247,595.4752331251915,374.0496935008447,0.0,272.25371453597137,213.3405052327544,453.06675599212645,245.98143352805852,266.00191618755764,100.08056721922736,141.93881365451446,293.281271191766,334.34306291724283,284.9567681758814,274.33748354169467,295.04242342794043,314.3036860438517,140.23142668424632,283.3049591550082,311.1963144793218,282.13342656964477,161.9210524665634,331.29103557423963,386.4573180757584,243.50565849865689,442.5908660468758,528.6343505232088,285.73874363239054,493.43428194767404,176.93325726518938,257.2958614458024,273.5050211840638,314.88560300685936,540.6314297571174,445.84330991826954,515.4414484979441,259.1514987808645,316.31273182955044,358.7045213007241,224.28980917852152,316.20134309019653,199.69506445954988,340.99506755959146,442.46504420327693,479.1193525733482,103.81018490758271,449.81442686004635,89.88470290840239,268.97611055352877,332.81858532431437,265.8751223034307,561.0378909524486,227.24225837549594,370.5599318837674,366.40007503144665,319.15659974965456,180.22407072156668,163.51891360091602,82.44978477549635,75.71645365750932,320.99536261282395,451.3212778303796,437.6460417429107,419.38195204097843,303.67292592134004,223.49580373576853,217.15725757650537,275.04529751149425,427.1666215946397,64.16561251149749,406.27856305231444,273.3827127903125,133.8726655123953,332.26509005879,262.77119015290833,228.63283701162504,94.91020460382974,287.0121264829732,277.62857081341116,158.40744073683496,215.06758122196018,106.96315345103483,236.71512480408387,170.57198061319886,97.65210226914544,45.44003894025637,320.28972435131874,119.12388679685878,183.85725599508885,245.9706259816871,182.5238034780121,156.18510681904013,377.14730827004104,406.6933828032753,472.58417426287554
259.0680091515636,171.02009034192582,68.3604047575678,168.81289907323566,279.81510046924984,455.9411241020847,467.552333217963,326.23902169577207,272.25371453597137,0.0,428.2109864653401,474.93306728650015,60.216428590873484,6.276239470953588,195.80662729563605,131.90871550740806,25.317440199496502,307.8080851902007,18.700597933244943,12.022530708249121,48.49617055158624,404.2100316831623,213.07932103327693,12.171998238857405,38.96269509941351,14.166087801199978,266.2459132025809,90.56619872764315,433.7468502132357,258.7768242131561,202.1631137781172,380.81457730138,265.74381856731304,308.54144148616626,142.27290628078123,15.134751337955283,6.4927491829617505,179.47370414379736,478.8264833708114,227.72922175663462,486.8920241250782,18.565321306252322,46.664648183539114,359.1732377612725,138.86911955148284,225.07536442543562,136.08680277224454,287.3778746076818,235.63252963107126,243.55896142775651,310.93687690610193,358.25640238658576,182.37227035793825,7.669825017311771,177.2694788456813,11.40413537258547,438.0188685560963,158.0155027433038,272.2377420843724,326.7086208220978,504.20801052100984,157.37342289283683,272.2818498855156,217.36869448332413,303.23678338081135,57.822839749743075,258.615346116866,458.7952780407919,245.60420861796848,33.2332380102672,125.61988489271621,385.95052596461966,23.90653599152495,190.81418135548978,328.0196285630767,426.661508434895,15.32118926317106,170.32802853557186,60.46189112761552,10.255657999925562,179.56114005802755,346.71790100469343,457.7651860894301,8.900582578249548,246.2880240887468,360.1481595999638,168.1181269041542,37.57454420006913,272.3675472765129,191.11313727995753,243.40685300126918,48.67724651978469,160.95891851498774,204.4843310029774,220.54896923329656,206.1279588832002,171.38096805735788,122.45660556748832,413.45424395795686,486.3583005330781
