city,latitude,longitude,population
Bochnia,49.96905,20.43028,29184
Swarzędz,52.41289,17.08503,29010
Grzegórzki,50.06423,19.96761,28960
Czerwionka-Leszczyny,50.15007,18.67762,28740
Września,52.32512,17.56519,28703
Gorlice,49.65563,21.16035,28609
Gierłoż,54.08134,21.49551,28351
Nowy Dwór Mazowiecki,52.43022,20.71652,27633
Kętrzyn,54.07676,21.37527,27478
Brodnica,53.25967,19.39653,27341
Zakopane,49.29899,19.94885,27266
Piecki-Migowo,54.35698,18.58174,27173
Rejon placu Grunwaldzkiego,51.11669,17.06126,27030
Biłgoraj,50.54114,22.72204,26987
Grodzisk Mazowiecki,52.10387,20.6337,26684
Wyszków,52.59278,21.4584,26500
Bielsk Podlaski,52.76512,23.18647,26493
Luboń,52.34705,16.89267,26431
Szczytno,53.56259,20.98747,26044
Kluczbork,50.97281,18.21816,25978
Wałcz,53.27787,16.47122,25971
Świecie,53.40953,18.44742,25843
Żagań,51.61759,15.31486,25731
Kłodzko,50.43488,16.66145,25717
Wągrowiec,52.80842,17.19961,25648
Jarocin,51.97266,17.50256,25582
Pszczyna,49.98037,18.95382,25288
Sandomierz,50.68265,21.74898,25087
Kabaty,52.13012,21.08148,25000
Nowa Ruda,50.58008,16.50164,24753
Przymorze Wielkie,54.41166,18.5984,24368
Białogard,54.00696,15.98751,24368
Kościan,52.08829,16.64866,24096
Jawor,51.05132,16.19347,23865
Lubliniec,50.66897,18.6844,23784
Skawina,49.97524,19.82869,23647
Pruszcz Gdański,54.26217,18.63625,23618
Koło,52.20024,18.63865,23493
Bartoszyce,54.25354,20.80819,23482
Ząbki,52.29271,21.10539,23473
Środmieście,54.35048,18.65556,23364
Prudnik,50.32124,17.57461,23343
Kościerzyna,54.12226,17.98119,23327
Piastów,52.18435,20.83952,23290
Świebodzice,50.85974,16.31966,23228
Marki,52.32065,21.10474,23177
Zambrów,52.9855,22.24319,22857
Lubartów,51.46026,22.60952,22839
Grajewo,53.64728,22.45537,22803
Drzetowo-Grabowo,53.44888,14.5792,22655
Ostrów Mazowiecka,52.80245,21.89507,22653
Opoczno,51.37569,20.27827,22592
Goleniów,53.56392,14.82854,22505
Lubań,51.12014,15.28768,22245
Płońsk,52.62348,20.37552,22217
Hajnówka,52.74328,23.58122,22157
Łaziska Górne,50.14952,18.84215,21983
Mrągowo,53.86437,21.30507,21965
Andrychów,49.85497,19.33834,21954
Rembertów,52.26059,21.16355,21893
Rydułtowy,50.05857,18.41703,21887
Świebodzin,52.24751,15.53355,21757
Środa Wielkopolska,52.22843,17.27617,21757
Kamienna Góra,50.78314,16.03037,21743
Łęczna,51.30121,22.88135,21719
Wrzeszcz Dolny,54.38473,18.61273,21648
Wieluń,51.22097,18.56964,21624
Polkowice,51.50391,16.07261,21565
Rawicz,51.60946,16.85852,21380
Gryfino,53.25243,14.48831,21270
Działdowo,53.23958,20.17004,21127
Wrzeszcz Górny,54.37978,18.59539,20810
Gostyń,51.88247,17.01225,20771
Końskie,51.19166,20.40607,20756
Rejon ulicy Traugutta,51.10247,17.04827,20617
Ozorków,51.96336,19.29139,20608
Chełmno,53.34855,18.4251,20576
Aleksandrów Łódzki,51.81965,19.30384,20292
Tomaszów Lubelski,50.44767,23.41616,20261
Strzelce Opolskie,50.5107,18.30056,20241
Wesoła,52.25451,21.22407,20000
Pionki,51.47604,21.44995,19966
Orunia Górna-Gdańsk Południe,54.32491,18.61567,19807
Chodzież,52.99505,16.9198,19776
Bieruń,50.09,19.09291,19659
Nakło nad Notecią,53.14214,17.60181,19565
Krasnystaw,50.98464,23.1742,19532
Kęty,49.88214,19.22333,19249
Wadowice,49.88335,19.49292,19238
Pisz,53.62744,21.81253,19232
Sokółka,53.40715,23.50228,19079
Osiedle Kosmonautów,51.12753,16.96186,19048
Pułtusk,52.7025,21.08276,19039
Pyskowice,50.4,18.63333,19018
Gostynin,52.42938,19.46194,18976
Sierpc,52.8568,19.66913,18866
Trzebinia,50.15931,19.46966,18828
Wieliczka,49.98738,20.06473,18677
Międzyrzecz,52.44461,15.57801,18669
Hrubieszów,50.80502,23.89251,18605
Szamotuły,52.61201,16.57794,18588
Łask,51.59056,19.13278,18577
Orzesze,50.15595,18.77923,18438
Sulejówek,52.25221,21.26902,18414
Złotów,53.36346,17.04082,18395
Braniewo,54.37971,19.81959,18356
Konstantynów Łódzki,51.74776,19.32564,18335
Krapkowice,50.47515,17.96539,18275
Łańcut,50.06871,22.22912,18266
Sokołów Podlaski,52.40677,22.25307,18241
Reda,54.60528,18.34717,18116
Sulechów,52.08362,15.62513,18055
Oborniki,52.64739,16.81406,17915
Józefów,52.13707,21.23589,17910
Libiąż,50.10396,19.31568,17834
Kostrzyn nad Odrą,52.58713,14.64953,17778
Dęblin,51.55912,21.84829,17775
Rawa Mazowiecka,51.76437,20.25493,17770
Myślenice,49.83383,19.9383,17686
Kobyłka,52.33953,21.19589,17659
Pleszew,51.89636,17.78549,17640
Słubice,52.35088,14.56065,17567
Zielonka,52.30376,21.16018,17518
Radlin,50.0502,18.47626,17479
Radzionków,50.40026,18.90232,17167
Międzyrzec Podlaski,51.9864,22.78248,17158
Busko-Zdrój,50.47078,20.71884,17095
Kozienice,51.58294,21.54779,17075
Trzcianka,53.04063,16.45629,16914
Brzesko,49.96911,20.60606,16866
Świerczewo,53.4273,14.51303,16860
Jędrzejów,50.63945,20.30454,16792
Boguszów-Gorce,50.75514,16.20494,16726
Bytów,54.17057,17.49187,16724
Gryfice,53.9165,15.20027,16720
Przasnysz,53.01907,20.88029,16718
Nowogard,53.67437,15.1163,16703
Gubin,51.94956,14.72837,16629
Rypin,53.06603,19.40941,16589
Konstancin-Jeziorna,52.0938,21.11761,16548
Lidzbark Warmiński,54.12588,20.57954,16540
Bogatynia,50.90747,14.95634,16460
Łapy,52.9911,22.88422,16434
Namysłów,51.07592,17.72284,16376
Lędziny,50.14264,19.13149,16305
Ustka,54.58048,16.86194,16250
Staszów,50.56307,21.16593,16137
Strzegom,50.96264,16.35006,16106
Radzyń Podlaski,51.78333,22.61667,16071
Osowa,54.43109,18.46727,16021
Olecko,54.03374,22.50704,15923
Garwolin,51.89747,21.61466,15912
Kozanów,51.14447,16.96937,15901
Przeworsk,50.05912,22.49408,15805
Milanówek,52.11879,20.67155,15784
Różanka-Polanka,51.14344,17.01987,15746
Choszczno,53.16905,15.42054,15733
Świdwin,53.77464,15.77671,15725
Ustroń,49.72153,18.80198,15637
Nisko,50.51987,22.13968,15573
Złotoryja,51.12637,15.91979,15564
Łęczyca,52.05959,19.19972,15528
Siemiatycze,52.42719,22.86231,15421
Chełmża,53.18463,18.60466,15403
Jelcz Laskowice,51.02134,17.31649,15340
Łomianki,52.33413,20.88602,15315
Jelcz,51.02102,17.32095,15308
Ropczyce,50.05229,21.60891,15279
Nowy Tomyśl,52.3195,16.12844,15179
Solec Kujawski,53.08371,18.22572,15125
Głuchołazy,50.31505,17.38355,15120
Głowno,51.96463,19.71565,15103
Ząbkowice Śląskie,50.58969,16.81239,15004
Kartuzy,54.33424,18.19735,15002
