Warsaw,Łódź,Kraków,Wrocław,Poznań,Gdańsk,Szczecin,Bydgoszcz,Lublin,Katowice,Białystok,Gdynia,Częstochowa,Sosnowiec,Radom,Kielce,Gliwice,Toruń,Zabrze,Bytom,Bielsko-Biala,Olsztyn,Rzeszów,Ruda Śląska,Rybnik,Tychy,Białołeka,Opole,Elbląg,Płock,Wałbrzych,Gorzów Wielkopolski,Włocławek,Zielona Góra,Tarnów,Dąbrowa Górnicza,Chorzów,Kalisz,Koszalin,Legnica,Słupsk,Jaworzno,Jastrzębie Zdrój,Grudziądz,Nowy Sącz,Konin,Piotrków Trybunalski,Inowrocław,Lubin,Jelenia Góra
0.0,117.00243345638414,252.49725511869502,301.7286293713489,278.10657693529606,283.44687822159005,453.7576934375816,225.57985470769364,152.73993017030068,259.0680091515636,176.48241021575086,303.03034115699796,206.05554796821116,253.55963659219213,92.45423682804758,153.47945839971314,269.33707604777095,184.77105329322563,262.3427421464016,254.30471053160815,300.8683772815651,175.81595163337946,252.89904541492206,265.6101032812783,293.0479274805735,272.86089468608867,10.527460693873843,275.17156191013476,238.94023090687003,95.3438123244166,365.1129536598558,395.5331689999108,139.73925774674458,377.5199587310656,246.4095846378718,245.40898842252463,256.6151999379533,206.6341875934021,389.1946208790299,352.72296828825296,362.7016331654503,255.53730398950253,304.7921598473497,205.98996531193717,290.83334212075357,188.01625359694282,128.41590915198688,196.4061158587633,343.1925565957692,393.85280157429787
117.00243345638414,0.0,192.79511749568914,184.87163811322515,187.6514766586276,292.30871683564675,379.9583552154749,180.28930073609928,221.70137141578374,171.02009034192582,292.3519313843113,311.9824509071277,111.01620002858695,167.0037993305427,122.62600929441338,128.24264208336726,173.01427568202098,150.4650339273639,167.79232007873813,162.63819907300717,218.6909529022374,233.72678431128395,261.3533966322768,173.60736484413073,197.2074890404897,185.07232063653763,119.35276746676462,162.93705368521657,264.8599334358999,87.75799670600121,248.12602776307398,308.2361315898171,101.43134475446332,273.08310403047835,222.2974444502323,160.85081975443006,166.57878224789175,95.17209350447631,348.4840159566797,237.6057974483861,341.0230054747563,174.60952532992158,211.46755090188594,196.63752091128728,253.98306350300464,97.68537142368731,43.57856581014196,140.8814475686196,229.780675573375,277.5613065702727
252.49725511869502,192.79511749568914,0.0,235.25845068654857,334.3648301662697,485.0957527855743,526.5902897870574,365.5980576680603,227.66888100309123,68.3604047575678,407.8062650098331,504.7430854334957,99.96047367774825,64.38117944443059,171.7407717571716,102.37983695177374,93.48463123333993,341.0688678904483,87.00397659911195,78.22219393989792,68.99158624951653,415.2412996392688,147.2663270679405,80.00942829019372,99.60541628201113,69.70940366592112,261.4308756049672,157.98383189443607,456.2949272994007,276.8252886815037,270.5172967911258,441.60676642686,293.8849680125581,373.4433603905573,75.20429930530312,60.261271823980515,73.71393031526033,229.02773783549557,526.349542548055,295.2158111481019,527.9208141875864,49.7951411472777,98.02641173801935,389.17550597404545,73.23801743065489,267.591546116398,150.34998489512145,325.70614914350017,302.09091479904544,311.91934967712683
301.7286293713489,184.87163811322515,235.25845068654857,0.0,145.49702359649845,377.62454556172565,309.0765632462456,234.62733360508898,386.0144479357434,168.81289907323566,475.5540511816369,393.25585285301696,150.3016868992504,171.59065701277117,288.2417369781759,252.85899207163553,146.12784422917755,238.16647907993345,150.50123224231027,157.69502096078472,201.220181739364,379.15948129334816,369.83327599020856,158.91479802424018,154.1718924209325,173.37376077209373,303.40240918982545,78.60658308135389,375.3053088486112,244.16911652865036,63.95101661234073,220.07965016016936,221.6621003032941,140.68169026884587,304.2441486216239,174.997201146443,162.72184257448365,103.82613722413156,348.9419086856646,61.99579194924187,374.0654212452824,186.73140167093175,167.53524789692395,289.7503283992255,307.4547136024163,150.52755212241576,188.87909839873666,206.86775166175659,66.86676002488227,93.9502799162368
278.10657693529606,187.6514766586276,334.3648301662697,145.49702359649845,0.0,244.51174438746278,195.71556184233015,107.73107023005956,408.034096243893,279.81510046924984,426.97739004569047,257.6575237671467,234.5682556598521,279.9202660390855,310.0674143510009,307.03184165639726,264.03330940796076,131.0782599529851,264.92277356400024,267.81494686693,323.1115186293713,282.70711367785697,440.0612691826964,273.8140359597158,280.2487327081622,289.39986080184957,274.5896032140975,204.81287581546061,254.57368904046476,188.6705954191369,187.2478327472324,120.67073925222844,147.0852905277551,110.32429056759501,388.06423573428174,279.3776483293013,273.34892172463344,107.00917322184411,205.03182242100726,143.17495471464323,228.8359437640103,294.0844097507254,295.70439020089435,171.0994599593645,406.5316039825976,92.10271641242211,220.42281647553074,100.07078388287906,122.51922883761837,186.94560170259334
283.44687822159005,292.30871683564675,485.0957527855743,377.62454556172565,244.51174438746278,0.0,287.33154694242523,142.99723797025405,433.85843406599247,455.9411241020847,326.3223019532301,20.018769801869183,396.6861180804622,453.1100893178211,368.29696913439096,409.52753235110134,450.86147380518565,148.87448255617534,447.91685823598095,445.6680296489827,504.42329243328635,136.1761932929324,530.8058716020025,455.4349486639841,473.2063004623752,469.1939460385588,273.44410191639696,412.1299109026148,54.13498005507449,212.60822214799583,429.00025619879966,288.62926376807377,191.4990842033353,340.7398862289515,507.9908024236771,448.40564776848373,450.4853038412858,290.5276146593896,161.7691988320566,387.31966913792434,105.59782582580046,463.0806531801197,488.93363400670864,96.77740376961033,544.3193353332889,238.1937672695562,335.2070174083883,174.59327117484995,366.936947791662,431.4555747623707
453.7576934375816,379.9583552154749,526.5902897870574,309.0765632462456,195.71556184233015,287.33154694242523,0.0,232.1694842235916,595.4752331251915,467.552333217963,573.0920763450091,287.00128399467775,427.7629043537089,468.5851183943735,500.5113860272431,502.4426136132427,448.6340406459296,273.19420815691694,451.0111830580918,455.58364113950597,506.78797117831243,393.8070102178976,635.7141709928779,459.9217854869987,460.9422660467504,475.3639131064319,447.8779429011981,383.50644988158257,328.8735958483092,358.5359343908254,318.2633889486924,89.22059665471792,314.02862813349475,178.06383343383726,583.2347537554192,469.2627046395664,461.07293908727763,302.4338880329788,136.17573554686285,269.8583044427431,198.72017327667217,483.36376598924903,475.25860700188304,278.1478911496745,599.4991669799153,282.2788794531774,415.3214284394611,257.35465615992507,251.68560163792438,292.43877570911235
225.57985470769364,180.28930073609928,365.5980576680603,234.62733360508898,107.73107023005956,142.99723797025405,232.1694842235916,0.0,374.0496935008447,326.23902169577207,343.9809054725119,158.92925341566203,269.8176693762272,324.3330057676068,286.78099396411255,308.0831187461412,317.5830989484442,41.29816254874517,315.7646010245321,315.119464814986,374.03980087468545,180.09196694909636,439.76370373755327,323.9047975328991,338.5297948312329,338.5863439290821,218.6486551635699,272.6405515138753,147.02353706882369,130.89019608972254,286.95271331238723,191.1429976416919,88.61864209493567,214.636155608585,402.3716693132846,320.94402786683423,320.3020483606557,151.5984791239047,169.71185271120007,247.1961681027992,162.33385248272398,336.0437414081536,354.448397135761,63.75866946747956,431.73781960881263,101.42716196497791,223.1662419279596,39.97079105071168,227.57683127179436,292.3081463108593
152.73993017030068,221.70137141578374,227.66888100309123,386.0144479357434,408.034096243893,433.85843406599247,595.4752331251915,374.0496935008447,0.0,272.25371453597137,213.3405052327544,453.06675599212645,245.98143352805852,266.00191618755764,100.08056721922736,141.93881365451446,293.281271191766,334.34306291724283,284.9567681758814,274.33748354169467,295.04242342794043,314.3036860438517,140.23142668424632,283.3049591550082,311.1963144793218,282.13342656964477,161.9210524665634,331.29103557423963,386.4573180757584,243.50565849865689,442.5908660468758,528.6343505232088,285.73874363239054,493.43428194767404,176.93325726518938,257.2958614458024,273.5050211840638,314.88560300685936,540.6314297571174,445.84330991826954,515.4414484979441,259.1514987808645,316.31273182955044,358.7045213007241,224.28980917852152,316.20134309019653,199.69506445954988,340.99506755959146,442.46504420327693,479.1193525733482
259.0680091515636,171.02009034192582,68.3604047575678,168.81289907323566,279.81510046924984,455.9411241020847,467.552333217963,326.23902169577207,272.25371453597137,0.0,428.2109864653401,474.93306728650015,60.216428590873484,6.276239470953588,195.80662729563605,131.90871550740806,25.317440199496502,307.8080851902007,18.700597933244943,12.022530708249121,48.49617055158624,404.2100316831623,213.07932103327693,12.171998238857405,38.96269509941351,14.166087801199978,266.2459132025809,90.56619872764315,433.7468502132357,258.7768242131561,202.1631137781172,380.81457730138,265.74381856731304,308.54144148616626,142.27290628078123,15.134751337955283,6.4927491829617505,179.47370414379736,478.8264833708114,227.72922175663462,486.8920241250782,18.565321306252322,46.664648183539114,359.1732377612725,138.86911955148284,225.07536442543562,136.08680277224454,287.3778746076818,235.63252963107126,243.55896142775651
